Nummer;Latitude;Longitude;Name;Kurztext;Start im Jahr;Ende im Jahr;Stadt;Postleitzahl;Straﬂe;Homepage
1996;48,303294;14,305433;Hotspot Linz - AKh Bibliothek;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Krankenhausstraﬂe 9;http://www.hotspotlinz.at
1997;48,315302;14,280367;Hotspot Linz - Bibliotheks-Center Urfahr;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4040;Hauptstraﬂe 83-85;http://www.hotspotlinz.at
1998;48,295994;14,277019;Hotspot Linz - Botanischer Garten, Cafe;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Roseggerstraﬂe 20;http://www.hotspotlinz.at
1999;48,295994;14,277019;Hotspot Linz - Botanischer Garten, Freifl‰che;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Roseggerstraﬂe 20;http://www.hotspotlinz.at
2000;48,310577;14,292791;Hotspot Linz - Brucknerhaus;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Untere Donaul‰nde 7;http://www.hotspotlinz.at
2001;48,298559;14,291572;Hotspot Linz - B¸rgerstraﬂe;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;B¸rgerstraﬂe;http://www.hotspotlinz.at
2002;48,244927;14,279636;Hotspot Linz - Jugendzentrum Downtown;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4030;Matth‰us-Herzog-Straﬂe 7;http://www.hotspotlinz.at
2003;48,245949;14,327064;Hotspot Linz - Ebelsberg Ortszentrum;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4030;Fadingerplatz 7;http://www.hotspotlinz.at
2004;48,318163;14,294244;Hotspot Linz - Eisenbahnbr¸cke;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Heinrich-Gleiﬂner-Promenade;http://www.hotspotlinz.at
2005;48,290614;14,291216;Hotspot Linz - Hauptbahnhof - Halle;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Bahnhofplatz 3-6;http://www.hotspotlinz.at
2006;48,290614;14,291216;Hotspot Linz - Hauptbahnhof - Halle;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Bahnhofplatz 3-6;http://www.hotspotlinz.at
2007;48,305455;14,286804;Hotspot Linz - Hauptplatz;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4020;Hauptplatz;http://www.hotspotlinz.at
2009;48,292417;14,275634;Hotspot Linz - Tipps-Arena Linz;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Ziegeleistraﬂe 76;http://www.hotspotlinz.at
2010;48,292417;14,275634;Hotspot Linz - Tipps-Arena Linz;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4020;Ziegeleistraﬂe 76;http://www.hotspotlinz.at
2011;48,292417;14,275634;Hotspot Linz - Tipps-Arena Linz;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4020;Ziegeleistraﬂe 76;http://www.hotspotlinz.at
2012;48,250995;14,287558;Hotspot Linz - Jugendberatung Baustelle;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4040;Vogelf‰ngerweg 25;http://www.hotspotlinz.at
2014;48,270267;14,282191;Hotspot Linz - Jugendberatungsstelle Advice;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2007;0;Linz;4020;Landwiedstraﬂe 62-65;http://www.hotspotlinz.at
2015;48,286778;14,296944;Hotspot Linz - Andreas Hofer Platz;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4020;Andreas Hoferplatz gesamtes Areal;http://www.hotspotlinz.at
2016;48,286334;14,296731;Hotspot Linz - Jugendzentrum Plutonium;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4020;Edlbacherstraﬂe 1;http://www.hotspotlinz.at
2017;48,331412;14,314636;Hotspot Linz - Jugendzentrum ((club));Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4040;Niedermayrweg 7;http://www.hotspotlinz.at
2018;48,249802;14,308262;Hotspot Linz - Jugendzentrum ALPHA;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4030;W¸stenrotplatz 2-3;http://www.hotspotlinz.at
2019;48,306838;14,290375;Hotspot Linz - Jugendzentrum Ann&Pat;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Lederergasse 7;http://www.hotspotlinz.at
2020;48,271009;14,282784;Hotspot Linz - Jugendzentrum Atlantis;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Landwiedstraﬂe 65;http://www.hotspotlinz.at
2021;48,243961;14,329328;Hotspot Linz - Jugendzentrum Cloob;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4030;Kremsm¸nsterer Straﬂe 1-3;http://www.hotspotlinz.at
2022;48,25049;14,303896;Hotspot Linz - Jugendzentrum Fjutscharama;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4030;Scharm¸hlwinkel 13;http://www.hotspotlinz.at
2023;48,295419;14,317872;Hotspot Linz - Jugendzentrum Franx;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Wimhˆlzelstraﬂe 40;http://www.hotspotlinz.at
2024;48,302131;14,300464;Hotspot Linz - Jugendzentrum JUMP;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2007;0;Linz;4020;Krankenhausstraﬂe 2;http://www.hotspotlinz.at
2025;48,282212;14,307797;Hotspot Linz - Jugendzentrum KUBA;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2007;0;Linz;4020;Wiener Straﬂe 127;http://www.hotspotlinz.at
2026;48,273542;14,300465;Hotspot Linz - Jugendzentrum Riff;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Tungassingerstraﬂe 23a;http://www.hotspotlinz.at
2027;48,333595;14,290065;Hotspot Linz - Jugendzentrum St. Markus;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2007;0;Linz;4040;Gr¸ndbergstraﬂe 2;http://www.hotspotlinz.at
2028;48,301831;14,285672;Hotspot Linz - Jugendzentrum STUWE;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4020;Steingasse 5;http://www.hotspotlinz.at
2029;48,315443;14,280774;Hotspot Linz - Jugendzentrum U1;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4040;Hauptstraﬂe 74;http://www.hotspotlinz.at
2030;48,298179;14,293462;Hotspot Linz - Jugendzentrum Youz;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;S¸dtirolerstraﬂe 7;http://www.hotspotlinz.at
2031;48,288978;14,285905;Hotspot Linz - Jugendzentrum ZOOM;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Sophiengutstraﬂe 18;http://www.hotspotlinz.at
2032;48,310819;14,280932;Hotspot Linz - Kinder- und Jugendservices Bereich Gr¸nmarkt;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4040;Rudolfstraﬂe 18;http://www.hotspotlinz.at
2033;48,302778;14,302639;Hotspot Linz - AKh Vorplatz;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4020;Krankenhausstraﬂe 1;http://www.hotspotlinz.at
2034;48,305311;14,284028;Hotspot Linz - Kremsm¸nsterer Haus;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4020;Altstadt 10;http://www.hotspotlinz.at
2035;48,298602;14,28984;Hotspot Linz - Theater des Kindes im Kuddelmuddel;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2007;0;Linz;4020;Langgasse 11a;http://www.hotspotlinz.at
2036;48,308448;14,288841;Hotspot Linz - Lentos, Foyer;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4020;Ernst-Koref-Promenade 1;http://www.hotspotlinz.at
2037;48,308448;14,288841;Hotspot Linz - Lentos Cafe;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Ernst-Koref-Promenade 1;http://www.hotspotlinz.at
2038;48,294424;14,2754;Hotspot Linz - Linzer Stadion - (Auﬂenbereich);Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Roseggerstraﬂe 41;http://www.hotspotlinz.at
2039;48,301149;14,290997;Hotspot Linz - Mozartstraﬂe;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Mozartstraﬂe 1;http://www.hotspotlinz.at
2040;48,308048;14,291908;Hotspot Linz - Musikschule;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2007;0;Linz;4020;Fabrikstraﬂe 10;http://www.hotspotlinz.at
2041;48,309948;14,282785;Hotspot Linz - Neues Rathaus, Foyerbereich;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4040;Hauptstraﬂe 1-5;http://www.hotspotlinz.at
2042;48,310925;14,311335;Hotspot Linz - Posthof I;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Posthofstraﬂe 50;http://www.hotspotlinz.at
2043;48,310925;14,311335;Hotspot Linz - Posthof II;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Posthofstraﬂe 50;http://www.hotspotlinz.at
2044;48,310925;14,311335;Hotspot Linz - Posthof Restaurant;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4020;Posthofstraﬂe 50;http://www.hotspotlinz.at
2045;48,333217;14,317321;Hotspot Linz - Seniorenzentrum Dornach/Auhof;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4040;Sombartstraﬂe 1-5;http://www.hotspotlinz.at
2046;48,296083;14,315863;Hotspot Linz - Seniorenzentrum Franckviertel;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Ing.-Stern-Straﬂe 15-17;http://www.hotspotlinz.at
2047;48,261403;14,361522;Hotspot Linz - solarCity kleiner Weikerlsee;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4030;Weikerlseestraﬂe 63;http://www.hotspotlinz.at
2048;48,257751;14,360387;Hotspot Linz - solarCity Ortszentrum;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4030;Lunaplatz 1;http://www.hotspotlinz.at
2049;48,249802;14,308262;Hotspot Linz - Stadtbibliothek Auwiesen;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4030;W¸stenrotplatz 2-3;http://www.hotspotlinz.at
2050;48,333217;14,317321;Hotspot Linz - Stadtbibliothek Dornach/Auhof;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4040;Sombartstraﬂe 1-5;http://www.hotspotlinz.at
2051;48,243961;14,329328;Hotspot Linz - Stadtbibliothek Ebelsberg;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4030;Kremsm¸nsterer Straﬂe 1 - 3;http://www.hotspotlinz.at
2052;48,276444;14,297488;Hotspot Linz - Stadtbibliothek Einsteinstraﬂe;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2007;0;Linz;4020;Einsteinstraﬂe 11;http://www.hotspotlinz.at
2054;48,251176;14,292894;Hotspot Linz - Stadtbibliothek Neue Heimat;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Lilienthalstraﬂe 5;http://www.hotspotlinz.at
2055;48,258039;14,360809;Hotspot Linz - Stadtbibliothek Pichling;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4030;Lunaplatz 4;http://www.hotspotlinz.at
2056;48,305647;14,297527;Hotspot Linz - Stadtpark;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Kˆrnerstraﬂe 9;http://www.hotspotlinz.at
2058;48,244927;14,279636;Hotspot Linz - Streetwork Linz-S¸d;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4030;Matth‰us-Herzog-Straﬂe 7;http://www.hotspotlinz.at
2059;48,240183;14,332432;Hotspot Linz - Streetwork Ebelsberg;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4040;Edmund-Aigner-Straﬂe 3;http://www.hotspotlinz.at
2060;48,300963;14,300294;Hotspot Linz - S¸dbahnhofmarkt;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Marktplatz 9;http://www.hotspotlinz.at
2061;48,303976;14,288253;Hotspot Linz - Taubenmarkt;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Taubenmarkt;http://www.hotspotlinz.at
