FID,ID,GEOMETRIE,NAME,ANGEBOT,GROESSE_M2,HOMEPAGE,NUMMER_INTERN
spielplatz.gisdb.22036,gisdb.22036,POINT (47.77317843768601 13.046356788499631),Spielplatz Offingerweg,"Spielgeräte, Fussball",2700,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_morzg/offingerweg_fussballwiese_407056.htm,4259
spielplatz.gisdb.22037,gisdb.22037,POINT (47.81558824713472 13.027006954290133),Spielplatz Paumannstraße,"Spielgeräte, Fussball, Spielwasser, Trinkwasser",5500,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_lehen_nord_glanspitz/paumannstrasse_406922.htm,4260
spielplatz.gisdb.22038,gisdb.22038,POINT (47.82631817836577 13.048996865123033),Spielplatz Rauchenbichl,"Spielgeräte, Fussball, Streetball/Basketball, Tischtennis, WC",9800,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_itzling/rauchenbichl_406985.htm,4263
spielplatz.gisdb.22039,gisdb.22039,POINT (47.79807829923355 13.069756716352297),Spielplatz Rettenpacherstraße,Spielgeräte,4200,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_in_aigen/rettenpacherstrasse_406966.htm,4267
spielplatz.gisdb.22010,gisdb.22010,POINT (47.80949826687753 13.039746881897347),Spielplatz Gebirgsjäger Platz,"Spielgeräte, Trinkwasser",3700,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_innere_stadt/gebirgsjaeger_platz_406938.htm,4223
spielplatz.gisdb.22011,gisdb.22011,POINT (47.79924829485219 13.068076726510705),Spielplatz Geißmayerstraße,"Spielgeräte, Fussball",2300,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_in_aigen/geissmayerstrasse_406963.htm,4224
spielplatz.gisdb.22012,gisdb.22012,POINT (47.812378264959136 13.024026963409598),Spielplatz General-Arnold-Straße,Spielgeräte,1000,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_lehen_nord_glanspitz/general_arnold_strasse_406926.htm,4226
spielplatz.gisdb.22013,gisdb.22013,POINT (47.7781084456194 13.00483699915144),Spielplatz Glanfeldstraße,Spielgeräte,800,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_maxglan/glanfeldstrasse_407029.htm,4227
spielplatz.gisdb.22040,gisdb.22040,POINT (47.7928183654598 13.016476967231823),Spielplatz Richard-Knoller-Straße,"Spielgeräte, Fussball",2500,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_maxglan/richard_knoller_strasse_407035.htm,4268
spielplatz.gisdb.22041,gisdb.22041,POINT (47.81283823457824 13.060846784631517),Spielplatz Robinigstraße,"Spielgeräte, Fußball",4100,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_schallmoos/robinigstrasse_407087.htm,4270
spielplatz.gisdb.22042,gisdb.22042,POINT (47.81126824027758 13.063336769846918),Spielplatz Röcklbrunnstraße,Spielgeräte,400,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_schallmoos/roecklbrunnstrasse_407088.htm,4271
spielplatz.gisdb.22043,gisdb.22043,POINT (47.807798265116105 13.05281681530262),Spielplatz Rupertgasse,"Spielgeräte, Fußball, Trinkwasser",4600,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_schallmoos/rupertgasse_407089.htm,4272
spielplatz.gisdb.22014,gisdb.22014,POINT (47.82543818714296 13.043086892467445),Spielplatz Goethestraße - Hügelgelände,"Spielgeräte, Fussball, Streetball/Basketball",13900,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_itzling/goethestrasse_huegelgelaende_406984.htm,4230
spielplatz.gisdb.22015,gisdb.22015,POINT (47.82643818003127 13.04605687966559),Spielplatz Goethestraße,Spielgeräte,400,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_itzling/goethestrasse_406983.htm,4231
spielplatz.gisdb.22016,gisdb.22016,POINT (47.8090983000442 12.998957080129221),Spielplatz Guritzerstraße,"Spielgeräte, Fußball, Streetball/Basketball",3000,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_taxham/guritzerstrasse_407074.htm,4232
spielplatz.gisdb.22017,gisdb.22017,POINT (47.81226825955372 13.031786925381908),Spielplatz Alois-Stockinger-Straße,Spielgeräte,4300,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_lehen_nord_glanspitz/alois_stockinger_strasse_314077.htm,4233
spielplatz.gisdb.21983,gisdb.21983,POINT (47.82189819573968 13.054266831974363),Spielplatz Baron-Schwarz-Park,"Spielgeräte, Fußball, Streetball/Basketball, Skate-Miniramp, BMX Dirt-Jump, Trinkwasser, WC",23700,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_schallmoos/baron_schwarz_park_407084.htm,3100
spielplatz.gisdb.21984,gisdb.21984,POINT (47.78814836792313 13.04279683105997),Spielplatz Hans-Donnenberg-Park,"Spielgeräte, Fussball, Streetball/Basketball, Tischtennis, Volleyball, Trinkwasser",17300,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_leopoldskron/hans_donnenberg_park_407020.htm,3101
